row_hash,empresa,titulo,local,estado,data_abertura,data_fechamento,dias_passados,status,vfn,nota
DG25rml3XKCGuTXWSnZriA==,Bradesco Seguros,Toda vez tenho Reembolsos negados sem motivo,São Paulo - SP,SP,2022-04-28,2022-06-24,57,Resolvido,Sim,8
mqVthn9qjF/IPy8IanJ5Sw==,Porto Seguro,Envio de propagandas por SMS,São Gonçalo - RJ,RJ,2022-04-04,2022-05-31,57,Resolvido,Sim,8
pvkgO8/s6ckudLBu0MEIMQ==,Tokio Marine Seguradora,Demora pra autorizar reparo no veículo,Porto Alegre - RS,RS,2022-04-19,2022-06-15,57,Resolvido,Sim,8
TVWdqKeoSOPDFEprd0PB1A==,Bradesco Seguros,boleto não enviado nem disponível no site,Rio de Janeiro - RJ,RJ,2022-05-10,2022-07-06,57,Resolvido,Sim,8
sL2IFokvdrz0j5rgbust4g==,Azul Seguros,seguro auto,Sul Brasil - SC,SC,2022-05-02,2022-06-28,57,Resolvido,Não,2
VyKxtDL4cqmMRvRxh+bz0Q==,AIG Seguros Brasil,Sem resposta da análise de proteção de preco VISA,Rio de Janeiro - RJ,RJ,2022-04-25,2022-06-21,57,Resolvido,Não,5
k6zhSgZ9lcWeafa2+NWOAg==,AIG Seguros Brasil,Reembolso não efetuado. Prazos não cumpridos,Maceió - AL,AL,2022-03-29,2022-05-25,57,Resolvido,Não,2
VJrDkjxV+M7QmL4rur5FRA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.","Morosidade para transferência de titularidade, desrespeitando prazo legal",Rio de Janeiro - RJ,RJ,2022-04-04,2022-05-31,57,Resolvido,Não,2
VEX9SsIoWaPxS0loLis0aw==,Bradesco Seguros,Fiz a adesão paguei no cartão,Goiânia - GO,GO,2022-05-06,2022-07-02,57,Não resolvido,Não,0
U1Qu5CWSwKV6H6KYo4qljw==,Bradesco Seguros,Reembolso do Parto,Rio de Janeiro - RJ,RJ,2022-04-20,2022-06-15,56,Resolvido,Sim,8
Z3eqpk48XoVN3iQXYK5WxA==,Bradesco Seguros,SEGURO AUTO BRADESCO,Rio Negrinho - SC,SC,2022-04-12,2022-06-07,56,Resolvido,Não,7
PePOO/eXaOWfxgs8T5Eh0Q==,AIG Seguros Brasil,Proteção de preço aprovado há mais de dois meses e ainda não pago,Holambra - SP,SP,2022-04-19,2022-06-14,56,Não resolvido,Não,0
sNkPg6P0eCZseJNftobWQA==,AIG Seguros Brasil,Atraso no Reembolso,Feira de Santana - BA,BA,2022-04-20,2022-06-15,56,Não resolvido,Não,0
pjt19LtuHiqX/Ve26tbI1g==,Porto Seguro,Não cumpri os prazos acordados,São Paulo - SP,SP,2022-04-29,2022-06-23,55,Resolvido,Sim,10
KEP81NpXKWOjtRVS8b27cw==,MAPFRE Seguros,Garantia estendida,Rio de Janeiro - RJ,RJ,2022-03-31,2022-05-25,55,Resolvido,Sim,10
WXJD7MaFSYf3gKQfK0D9Mw==,Bradesco Seguros,Bradesco Seguro Saúde não está autorizando os serviços médicos,São José dos Campos - SP,SP,2022-05-21,2022-07-15,55,Resolvido,Sim,8
4fIm4WVaYRLbZ46viAc9UA==,HDI Seguros,Fiquei jogando igual lixo pela HDI seguros,Osasco - SP,SP,2022-04-20,2022-06-14,55,Não resolvido,Não,0
oTaPDbZ7m0adnSCWD/0mMg==,AIG Seguros Brasil,Pagamento não realizado pela AIG,Caçapava - SP,SP,2022-04-13,2022-06-07,55,Não resolvido,Não,0
rRjxwEXHHxI0HGctNc0sXw==,Bradesco Seguros,Seguro Bradesco cancelado sem aviso,Mogi-Guaçu - SP,SP,2022-05-03,2022-06-27,55,Não resolvido,Não,0
ZQyAX9YHlEiuBVZOGaNNVA==,Bradesco Seguros,Solicitação de Reembolso,Brasília - DF,DF,2022-05-12,2022-07-06,55,Não resolvido,Não,0
FepMhGsNfKyZAcqASfFhEA==,HDI Seguros,Seguro residencial,Mauá - SP,SP,2022-04-06,2022-05-30,54,Resolvido,Sim,10
iNxpxZmXCibskoD3Z/UTsQ==,Zurich Brasil Seguros,Cancelaram meu seguro,São Bernardo do Campo - SP,SP,2022-04-07,2022-05-31,54,Resolvido,Sim,7
qqGc+fGz3RD12Elu4uZsRw==,Tokio Marine Seguradora,SEGURO SAFRA,Naviraí - MS,MS,2022-05-02,2022-06-25,54,Resolvido,Sim,10
61ZiljHrDwHM3zPBnFM4Hg==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Esqueci o último boleto e cancelaram o seguro sem nem entrar em contato,Araucária - PR,PR,2022-03-30,2022-05-23,54,Resolvido,Sim,8
XREENbmdgrSnonTKw5P2rA==,Porto Seguro,Carro Facil Porto Seguro,Bauru - SP,SP,2022-03-30,2022-05-23,54,Não resolvido,Não,0
3N8cpKjPeXmPBBgJIw1p3Q==,AIG Seguros Brasil,Sinistro demorando a ser analisado,Niterói - RJ,RJ,2022-04-17,2022-06-10,54,Não resolvido,Não,0
AmHfM0PnQHtQ928HjjgyIg==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Desanimador,Belo Horizonte - MG,MG,2022-05-06,2022-06-29,54,Não resolvido,Não,5
WlYYmlT2kKNENTunzNJqzg==,Bradesco Seguros,Negativa de reembolso - limite excedido,Rio de Janeiro - RJ,RJ,2022-05-16,2022-07-08,53,Resolvido,Não,6
B8ooBAzfzgyFGBtp9zICRg==,Bradesco Seguros,Demora de 6 meses e 20 dias ou 202 dias para conserto de veículo - INACEITÁVEL,Brasília - DF,DF,2022-05-20,2022-07-12,53,Não resolvido,Não,0
AtW5wgsd1oo7FVYecZYd+g==,AIG Seguros Brasil,Aguardando pagamento cujo prazo já se encerrou há muito tempo,Cuiabá - MT,MT,2022-05-05,2022-06-27,53,Resolvido,Sim,8
le2e6d9uL4771xXJEaVbwg==,AIG Seguros Brasil,ATRASO NO PAGAMENTO DO SEGURO PROTEÇÃO DE PREÇO - VISA,Ribeirão Preto - SP,SP,2022-03-29,2022-05-21,53,Resolvido,Sim,9
3rAl26tBGtTi8i3ucL2S9Q==,Youse Seguros,Seguro cancelado.,Patos de Minas - MG,MG,2022-04-28,2022-06-20,53,Não resolvido,Não,0
hMwSm+pnY3AAomB6qN02Nw==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Sinistro não pago,São Paulo - SP,SP,2022-04-30,2022-06-22,53,Não resolvido,Não,1
Nkdgh0xrlhYXXHjYqWsJVQ==,Bradesco Seguros,Cancelamento seguro,Tutóia - MA,MA,2022-04-21,2022-06-12,52,Resolvido,Sim,10
rK8eMVhwUtNfdrHe5uLX/Q==,Bradesco Seguros,Reanálise de Reembolso,Itapecerica da Serra - SP,SP,2022-05-24,2022-07-15,52,Resolvido,Sim,8
xJCsQvm/9r4ntFX+YyEgwA==,Azul Seguros,Transtornos e prejuízos,João Pessoa - PB,PB,2022-04-18,2022-06-09,52,Não resolvido,Não,0
oHOzkde3+s266SZaRo5JPA==,Porto Seguro,falta de atendimento porto seguro,São Paulo - SP,SP,2022-04-05,2022-05-27,52,Não resolvido,Não,0
Bneca1rLL6cBYtje3UV6BQ==,AIG Seguros Brasil,Sem resposta na analise do Seguro,São Paulo - SP,SP,2022-04-13,2022-06-04,52,Não resolvido,Não,0
r1BNx+QOGPTsGLyUwpjG7A==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Aguardando quase 3 meses para arrumar um para-choque,Jundiaí - SP,SP,2022-04-07,2022-05-29,52,Não resolvido,Não,1
T7tw2bnjD2QA7B8lBzev+Q==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Qualidade baixa das oficinas parceiras da Allianz,Belo Horizonte - MG,MG,2022-05-06,2022-06-27,52,Não resolvido,Não,0
QMXXO8uFpMhL/iJ5GBbBUQ==,Bradesco Seguros,Dificuldade de marcação de pericia medica,Niterói - RJ,RJ,2022-04-25,2022-06-15,51,Resolvido,Sim,10
5gIk6sBmkhT3YjsgcCLjyA==,HDI Seguros,Problemas com a indenização por perda total,São Paulo - SP,SP,2022-04-02,2022-05-23,51,Resolvido,Sim,8
5uxZDvsdYpsl/HT3wVOzfQ==,Tokio Marine Seguradora,Reparo do veículo mal feito na oficina credenciada,São Paulo - SP,SP,2022-04-20,2022-06-10,51,Resolvido,Sim,8
laDUPQqRFHZyt+BJtNoKBA==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",debito de ipva,Joinville - SC,SC,2022-05-02,2022-06-22,51,Resolvido,Sim,9
nQkYbLSaokyBEymq/oUxMA==,Azul Seguros,Demora na autorização,Fortaleza - CE,CE,2022-04-12,2022-06-02,51,Resolvido,Não,0
ZufFFSHz7IF4kV+ScAlSAA==,AIG Seguros Brasil,Falta de respeito,São Paulo - SP,SP,2022-05-12,2022-07-02,51,Resolvido,Não,0
zAg2g3gb667PjsmP/d6K7Q==,Tokio Marine Seguradora,Telefone 0800 não atendem,Taubaté - SP,SP,2022-04-19,2022-06-09,51,Resolvido,Não,2
9n849Og2k/lu6mMMl8vjGg==,Porto Seguro,PÉSSIMO ATENDIMENTO,Rio de Janeiro - RJ,RJ,2022-04-30,2022-06-20,51,Não resolvido,Não,2
osnBlSx5caPEu3nO1GFF8Q==,AIG Seguros Brasil,Atraso na Análise e pagamento.,Guarulhos - SP,SP,2022-05-12,2022-07-02,51,Não resolvido,Não,0
2CP6zut4eHf01we8kRElmg==,Bradesco Seguros,Supressão ilegal de cobertura devidamente contratada,Rio de Janeiro - RJ,RJ,2022-05-21,2022-07-11,51,Não resolvido,Não,0
wCHDcrzKEPJFfQoq2cIoFw==,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Nao dão retorno sobre reembolso,Palhoça - SC,SC,2022-04-12,2022-06-01,50,Resolvido,Sim,10
