sentimento,empresa,tempo_reclamacao,status,titulo,seguro,sinistro,prestamista,carro,cancelamento,protecao,atendimento,rembolso
Negativo,HDI Seguros,44,Resolvido,Sem comprometimento com cliente,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,Pior prestação de serviço,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,34,Resolvido,Estão demorando para arrumar meu carro.,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,Abandonado na pista Expressa da Marginal Tiête,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,25,Não resolvido,Descaso com cliente,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,7,Não resolvido,sinistro veículo,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,1,Não resolvido,HDI NÃO paga a responsabilidade contra terceiro,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,14,Não resolvido,HDI engana cliente na disponibilização do carro reserva,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,15,Não resolvido,Seguro hdi,true,false,false,false,false,false,false,false
Negativo,HDI Seguros,4,Não resolvido,Carro foi entregue com defeito e estão acusando que era defeito anterior,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,9,Não resolvido,Problema com financeiro.,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,9,Não resolvido,Sem resposta de sinistro há mais de 45 dias,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,17,Resolvido,Segunda via de boleto e voltar a debitar no cartão,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,38,Não resolvido,DEFEITO MECANICO,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,SINISTRO: 010603153209078,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,6,Não resolvido,CONTRATO CANCELADO INDEVIDAMENTE,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,3,Não resolvido,Cancelamento de Proposta Devolução de Valores,false,false,false,false,true,false,false,false
Negativo,HDI Seguros,8,Não resolvido,Falta de peças para reparo e falta de resolução,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,11,Resolvido,HDI NAO LIBERA AUTORIZAÇÃO DE REPAROS DO TERCEIRO,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,23,Não resolvido,HDI Seguros.,true,false,false,false,false,false,false,false
Negativo,HDI Seguros,26,Resolvido,Assistencia 24 Horas Faz a Gente de Burro,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,7,Não resolvido,Meses sem resolver a situação,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,32,Não resolvido,HDI Seguros não conserta nem devolve carro de terceiro,true,false,false,true,false,false,false,false
Negativo,HDI Seguros,33,Resolvido,falta de respeito com o cliente,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,32,Não resolvido,"Serviço de MÁ QUALIDADE, DESCASO COM SEGURADO!!",false,false,false,false,false,false,false,false
Negativo,HDI Seguros,10,Resolvido,Não tem resposta para o sinistro,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,10,Resolvido,HDI nunca mais,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,8,Resolvido,Cliente Da da seguradora bateu no meu carro,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,1,Não resolvido,HDI Seguros - Não tem respeito pelos clientes,true,false,false,false,false,false,false,false
Negativo,HDI Seguros,27,Resolvido,Falta de boleto,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,14,Resolvido,PALHAÇADA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,20,Não resolvido,Até o momento a Seguradora HDI não autorizou o serviço. São quase 10 dias de espera.,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,4,Não resolvido,Descaso com o segurado,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,19,Não resolvido,"Rescisão unilateral de contrato de seguro, retenção de valores pagos e cobrança de indébito",true,false,false,false,false,false,false,false
Negativo,HDI Seguros,25,Não resolvido,Não dão retorno,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,73,Resolvido,Falta de Respeito com o Assegurado.,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,6,Resolvido,Recusa da HDI em proceder com o sinistro,false,true,false,false,false,false,false,false
Negativo,HDI Seguros,15,Resolvido,DESRESPEITOS AOS PRAZOS DE LIBERAÇÃO DE CONSERTOS - SINISTRO 010453153221650,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,44,Não resolvido,LIBERAÇÃO DE CONSERTO DE VEICULO,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,39,Resolvido,Guincho a onde? Sofrimento,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,21,Não resolvido,HDI não devolve meu carro e não responde no Fale Conosco,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,4,Resolvido,Prazos,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,6,Não resolvido,Fato: 3 semanas e sem previsão de conclusão do reparo,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,16,Resolvido,Reparos Incompleto no veículo sinistrado,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,6,Resolvido,ESPERA ESSESSIVA POR PEÇA A SER TROCADA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,13,Não resolvido,Sem carro reserva,false,false,false,true,false,false,false,false
Negativo,HDI Seguros,33,Resolvido,Troca de lanterna,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,8,Não resolvido,ERRO NA DIGITACAO DA APOLICE GEROU ENDOSSO E AUMENTO FRANQUIA,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,59,Resolvido,Lucro cessante não autorizado,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,18,Resolvido,Processo e Desrespeito a Prazos/Falta de Transparência,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,3,Resolvido,COMPROVANTE CANCELAMENTO APÓLICE,false,false,false,false,false,false,false,false
Negativo,HDI Seguros,24,Resolvido,HDI: Hoje De novo Infeliz,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,17,Resolvido,Desrespeito ao Consumidor,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,17,Resolvido,Cobrança indevida por notificação extrajudicial,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,20,Resolvido,SERVIÇO NÃO AUTORIZADO,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,51,Resolvido,Problemas com a indenização por perda total,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,13,Resolvido,HDI não responde meus e-mails e demora para resolver meu caso,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,7,Resolvido,A empresa não me socorreu e não me deu nenhuma satisfação,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,6,Resolvido,Sem retorno do reembolso,false,false,false,false,false,false,false,true
Positivo,HDI Seguros,22,Resolvido,Morosidade na manutenção do meu carro,false,false,false,true,false,false,false,false
Positivo,HDI Seguros,12,Resolvido,Demora na liberação de reparos no veículo,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,16,Resolvido,VISTORIA HDI SEGUROS OFICINA AUTO REPAIR,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,21,Resolvido,Pagamento peças,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,9,Resolvido,Assistência 24 horas - Troca de Pneu,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,30,Resolvido,Não autorizam o conserto,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,2,Resolvido,Não permitiram o uso do serviço,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,47,Resolvido,Ausência de guincho e transtorno!!,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,41,Resolvido,3h de espera para o reboque.,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,4,Resolvido,Negligência e[Editado pelo Reclame Aqui],false,false,false,false,false,false,false,false
Positivo,HDI Seguros,60,Resolvido,Empresa não autoriza meu conserto,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,8,Resolvido,Protocolo 60921031,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,15,Resolvido,Na hora que mais precisei o serviço não foi feito,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,8,Resolvido,Seguro não fez reembolso,true,false,false,false,false,false,false,true
Positivo,HDI Seguros,8,Resolvido,Reembolso,false,false,false,false,false,false,false,true
Positivo,HDI Seguros,3,Resolvido,Não tem assistencia,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,7,Resolvido,EMPRESA SEM COMPROMETIMENTO COM O CLIENTE,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,9,Resolvido,INSATISFACAO TOTAL NAO IREI RENOVAR O SEGURO COM ESSA EMPRESA,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,14,Resolvido,Solicitação de reembolso,false,false,false,false,false,false,false,true
Positivo,HDI Seguros,11,Resolvido,Sem retorno HDI prazo excedido,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,21,Resolvido,Cancelei meu seguro,true,false,false,false,false,false,false,false
Positivo,HDI Seguros,42,Resolvido,SINISTRO 010035351169644,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,3,Resolvido,"Prazo absurdo para aprovarem o orçamento,",false,false,false,false,false,false,false,false
Positivo,HDI Seguros,18,Resolvido,SINISTRO NÃO ATENDIDO 010255351175415 / MUDANÇA CONSTANTE DE DATA / ABSURDO DO ABSURDO,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,34,Resolvido,Prestação de Serviço de Assistência 24h Ruim - Falta de Zelo,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,6,Resolvido,Prorrogação de carro reserva,false,false,false,true,false,false,false,false
Positivo,HDI Seguros,10,Resolvido,Informações,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,21,Resolvido,Reembolso a terceiros não efetuado,false,false,false,false,false,false,false,true
Positivo,HDI Seguros,5,Resolvido,Incompetência e Descaso,false,false,false,false,false,false,false,false
Positivo,HDI Seguros,8,Resolvido,"Falta de informação e acesso, sinistro mal resolvido, perito ausente",false,true,false,false,false,false,false,false
Negativo,Azul Seguros,42,Não resolvido,Não quer pagar o terceiro,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,16,Resolvido,Não entram em contato para a renovação da Apólice.,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,85,Resolvido,troca do para brisa,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,34,Resolvido,Cancelou o pagamento com uma informação [Editado pelo Reclame Aqui],false,false,false,false,false,false,false,false
Negativo,Azul Seguros,31,Não resolvido,Azul Seguros deixa Consumidor falando sozinho,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,18,Não resolvido,O cliente que se vire,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,30,Não resolvido,Veículo sem prazo de entrega,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,21,Não resolvido,DEMORA NA LIBERAÇÃO DO CARRO,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,14,Não resolvido,Sinistro com veículo,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,24,Não resolvido,Negação da Indenização,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,5,Não resolvido,Pagamento de lucros cessantes,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,1,Não resolvido,Alto valor para renovação do seguro,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,7,Resolvido,Cobrança Indevida,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,5,Resolvido,Cancelamento do Seguro,true,false,false,false,true,false,false,false
Negativo,Azul Seguros,13,Não resolvido,Seguro de Veículos,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,11,Não resolvido,Aguardando envio da apólice a mais de 11 meses,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,7,Não resolvido,Azul seguros quer remendar meu carro que está destruído devido a queda de uma arvore de mais de 15 metros de altura,true,false,false,true,false,false,false,false
Negativo,Azul Seguros,21,Não resolvido,Não querem efetuar o serviço,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,15,Não resolvido,SINSITRO DEMORADO,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,32,Não resolvido,Azul recusa o seguro e fico sem seguro,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,13,Resolvido,"Sou terceiro, carro batido ha mais de 2 semanas e a Azul me enrolando",false,false,false,true,false,false,false,false
Negativo,Azul Seguros,52,Não resolvido,Transtornos e prejuízos,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,7,Não resolvido,Renovação muito alta,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,15,Não resolvido,Entrega de serviço/ carro reserva,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,32,Não resolvido,Vistoria,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,43,Não resolvido,"ENROLADOS E DESINFORMADOS , SÓ MARKETING NO BBB",false,false,false,false,false,false,false,false
Negativo,Azul Seguros,25,Resolvido,DESCASO COM CONSUMIDOR - VÉICULO COM SINISTRO A 60 DIAS SEM QUE A SEGURADORA FORNEÇA PEÇAS E AUTORIZE O REPARO PELA OFICINA,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,4,Não resolvido,Não cobriu todos os danos causados no veiculo,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,12,Não resolvido,Colisão não autorizou pagamento de terceiro em seguida mudaram de idéia,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,15,Não resolvido,100 dias sem meu carro!,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,33,Não resolvido,Multa do veículo arrematado na copart,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,35,Não resolvido,Terceiro,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,51,Resolvido,Demora na autorização,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,3,Não resolvido,23 dias aguardando análise de sinsitro,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,33,Não resolvido,DESCASO E FALTA DE COMPROMETIMENTO COM O CLIENTE,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,33,Não resolvido,Estou sem meu carro a 82 dias!,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,2,Não resolvido,Não querem consertar na minha oficina de confiança,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,43,Não resolvido,Azul Seguro ( desrespeito com segurado),true,false,false,false,false,false,false,false
Negativo,Azul Seguros,7,Não resolvido,Sinistro acionado sem reparo do veículo,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,37,Não resolvido,A empresa se recusou a tomar providência sobre o dano,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,12,Não resolvido,EMPRESA SEM NENHUM RESPEITO PELO CLIENTE: NÃO CONTRATEM A AZUL SEGUROS!!!,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,61,Não resolvido,falta de respeito,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,13,Não resolvido,Seguro não está disponibilizando uma peça original.,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,1,Não resolvido,Empresa não disponibiliza a para-brisa ORIGINAL do carro e NEM da mesma marca do carro.,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,2,Não resolvido,Falta de palavra,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,4,Não resolvido,Vistoria negada,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,4,Não resolvido,Demora na aprovação,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,49,Não resolvido,Reparos autorizados e carro não entregue,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,1,Não resolvido,Azul seguros descaso com cliente serviço ruim,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,19,Não resolvido,DESCASO RELACIONADO A CARRO RESERVA,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,7,Não resolvido,"Demora em autorização, descaso com segurado",false,false,false,false,false,false,false,false
Negativo,Azul Seguros,11,Não resolvido,Burocracia para Liberação de Sinistro,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,35,Não resolvido,Abertura de sinistro e demora na conclusão,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,46,Não resolvido,Não paga o sinistro que rege no contrato e muita demora (2 meses ) para arrumar o carro.,false,true,false,true,false,false,false,false
Negativo,Azul Seguros,26,Não resolvido,Terceiro prejudicado sem acesso a seguradora que atua com desídia e de forma protelatória,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,35,Não resolvido,"Carro abandonado da oficina, seguradoda não faz nada",false,false,false,true,false,false,false,false
Negativo,Azul Seguros,71,Resolvido,Se recusam a fazer a vistoria complementar.,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,33,Resolvido,AZUL SEGUROS NÃO CMPRE COM SUAS OBRIGAÇÕES COM TERCEIROS.,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,9,Não resolvido,Pendência no Sinistro,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,25,Não resolvido,AZUL SEGUROS É A PIOR SEGURADORA DO MUNDO!,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,34,Não resolvido,recusa indevida SINISTRO 2022084037 Apólice número: 10223101007398-000:,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,9,Resolvido,INDENIZAÇÃO INTEGRAL ABAIXO DO VALOR DA TABELA FIPE (TERCEIROS),false,false,false,false,false,false,false,false
Negativo,Azul Seguros,4,Resolvido,Demora para resolução do Sinistro,false,true,false,false,false,false,false,false
Negativo,Azul Seguros,21,Não resolvido,Mais de 60 sem carro e não querem liberar o conserto do ventilador do ar condicionado,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,57,Resolvido,seguro auto,true,false,false,false,false,false,false,false
Negativo,Azul Seguros,88,Não resolvido,PÉSSIMA PRESTAÇÃO DE SERVIÇOS DA AZUL SEGUROS,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,40,Resolvido,Descaso e desrespeito total,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,12,Não resolvido,Confirmaram a aprovação do terceiro e depois declinaram alegando que não foi culpa do segurado,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,41,Resolvido,TROCA DA LATERNA DA DOBLÔ PELA SEGURADORA,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,34,Não resolvido,Péssimo atendimento ao cliente,false,false,false,false,false,false,true,false
Negativo,Azul Seguros,6,Não resolvido,Uma verdadeira Zona!!!,false,false,false,false,false,false,false,false
Negativo,Azul Seguros,34,Não resolvido,Demora no conserto do meu carro,false,false,false,true,false,false,false,false
Negativo,Azul Seguros,16,Resolvido,Atraso em reparo de terceiro,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,4,Resolvido,Azul trava renovação por retorno do cartão Porto Seguro,true,false,false,false,false,false,false,false
Positivo,Azul Seguros,32,Resolvido,Colisão em terceiro,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,15,Resolvido,AZUL NÃO QUER RENOVAR MINHA APOLICE,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,3,Resolvido,"PRECISO CANCELAR IMEDIATAMENTE, PRA NÃO DEBITAR A PARCELA",false,false,false,false,false,false,false,false
Positivo,Azul Seguros,3,Resolvido,"Azul bloqueia dados da RENOVAÇÃO, para cliente não cotar o seguro",true,false,false,false,false,false,false,false
Positivo,Azul Seguros,46,Resolvido,Não consigo ser atendido.,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,29,Resolvido,"Renovei meu seguro com a Azul Seguros, o valor cobrado foi diferente da proposta",true,false,false,false,false,false,false,false
Positivo,Azul Seguros,3,Resolvido,"Paguei pelas mensalidades, porém, meu seguro foi cancelado",true,false,false,false,false,false,false,false
Positivo,Azul Seguros,7,Resolvido,Não liberação carro reserva e não autorização do sinistro,false,true,false,true,false,false,false,false
Positivo,Azul Seguros,3,Resolvido,VISTORIA DE COLISAO,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,5,Resolvido,"Processo parado, todo dia aumenta o prazo em dois dias úteis",false,false,false,false,false,false,false,false
Positivo,Azul Seguros,6,Resolvido,Liberar veículo para arrumar,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,3,Resolvido,Devolução de cancelamento,false,false,false,false,true,false,false,false
Positivo,Azul Seguros,20,Resolvido,Apólice do seguro impressa.,true,false,false,false,false,false,false,false
Positivo,Azul Seguros,34,Resolvido,RECUSA DE SINISTRO SEM AVALIAÇÃO CORRETA DOS DANOS,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,24,Resolvido,Rr garagem vargem grande Paulista,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,23,Resolvido,Demora na Troca do Vidro (Para-brisa Traseiro),false,false,false,false,false,false,false,false
Positivo,Azul Seguros,10,Resolvido,Azul seguros - demora no fornecimento de peças para reparo,true,false,false,false,false,false,false,false
Positivo,Azul Seguros,26,Resolvido,Cancelamento indevido,false,false,false,false,true,false,false,false
Positivo,Azul Seguros,22,Resolvido,Renovação seguro sem autorizar !,true,false,false,false,false,false,false,false
Positivo,Azul Seguros,15,Resolvido,Veículo há 4 meses em oficina / Lucro Cessante,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,9,Resolvido,Sem reposta da seguradora sobre andamento do sinistro,false,true,false,false,false,false,false,false
Positivo,Azul Seguros,11,Resolvido,Descaso total com terceiros,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,29,Resolvido,Péssimo atendimento.,false,false,false,false,false,false,true,false
Positivo,Azul Seguros,4,Não resolvido,Estou com minha Ranger na oficina 18/03/22 e,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,6,Resolvido,Falta de respeito com o consumidor,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,23,Resolvido,Seguro não ativo,true,false,false,false,false,false,false,false
Positivo,Azul Seguros,44,Resolvido,Não informam data de chegada das peças,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,27,Resolvido,Demora para liberação do sinistro,false,true,false,false,false,false,false,false
Positivo,Azul Seguros,25,Resolvido,Demora para consertar o veículo,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,28,Resolvido,Descontado cobrança sem vistoria,false,false,false,false,false,false,false,false
Positivo,Azul Seguros,30,Resolvido,"Demora, desencontro de informação e enrolação.",false,false,false,false,false,false,false,false
Positivo,Azul Seguros,6,Resolvido,"Reembolso de valor cobrado a mais, devido um erro de sistema.",false,false,false,false,false,false,false,true
Negativo,Porto Seguro,26,Não resolvido,Solicitação de documento para seguro auto,true,false,false,false,false,false,false,false
Negativo,Porto Seguro,48,Resolvido,"Porto Seguro se nega a autorizar conserto de veículo, mesmo após vistoria autorizada",true,false,false,false,false,false,false,false
Negativo,Porto Seguro,22,Não resolvido,"CARRO FACIL - ABSURDO DE CARO, COBRANÇA VEM DEPOIS DE ANOS E TE ENROLAM",false,false,false,false,false,false,false,false
Negativo,Porto Seguro,32,Não resolvido,PORTO SEGURO FEZ O SERVIÇO DA TERCEIRA PELA METADE . ABSURDO / SEGURADO E TERCEIRO AVALIANDO AJUIZAR AÇÃO POIS TEMOS PROVAS,false,false,false,false,false,false,false,false
Negativo,Porto Seguro,20,Não resolvido,Seguro só de fachada,true,false,false,false,false,false,false,false
Negativo,Porto Seguro,14,Não resolvido,Seguro residencial,true,false,false,false,false,false,false,false
Negativo,Porto Seguro,5,Resolvido,enrolação para pagar sinistro,false,true,false,false,false,false,false,false
Negativo,Porto Seguro,8,Não resolvido,Solicitação indevida de sinistro,false,true,false,false,false,false,false,false
