row_hash,empresa,titulo,local,data_abertura,data_fechamento,tempo_reclamacao,status,vfn,nota,sentimento
-7250434125074578682,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Reembolso,Teresina - PI,2022-05-09,2022-05-23,14,Não resolvido,Não,0,negativo
-3399457622245618180,Youse Seguros,Mal serviço,São Paulo - SP,2022-06-24,2022-06-29,5,Não resolvido,Não,0,negativo
6717595882208109357,Bradesco Seguros,Descaso 2,Barão de Grajaú - MA,2022-04-28,2022-06-02,35,Não resolvido,Não,0,negativo
4815943180513913552,MAPFRE Seguros,Indenização,São João de Meriti - RJ,2022-04-18,2022-05-19,31,Resolvido,Não,0,negativo
-1362713943557417919,Bradesco Seguros,Para-brisa,Santo André - SP,2022-04-29,2022-06-13,45,Não resolvido,Não,0,negativo
4553694286500765137,MAPFRE Seguros,Sem resposta,Niterói - RJ,2022-04-11,2022-05-19,38,Resolvido,Não,0,negativo
2799693147276524166,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Atendimento,São Paulo - SP,2022-05-30,2022-06-28,29,Não resolvido,Não,0,negativo
6436178452567878621,Zurich Brasil Seguros,Uma porcaria,Tijucas - SC,2022-05-09,2022-06-19,41,Não resolvido,Não,0,negativo
2528648870662342041,Azul Seguros,Vistoria negada,Osório - RS,2022-05-12,2022-05-16,4,Não resolvido,Não,0,negativo
-5919657446085603271,Bradesco Seguros,Assistência,Natal - RN,2022-06-09,2022-07-07,28,Não resolvido,Não,0,negativo
8874627750555430803,Bradesco Seguros,Nome errado,São Paulo - SP,2022-05-13,2022-05-24,11,Resolvido,Não,0,negativo
-388243997051211138,Bradesco Seguros,Seguro auto,Jundiaí - SP,2022-04-27,2022-06-09,43,Não resolvido,Não,0,negativo
-388243997051211138,Bradesco Seguros,Seguro auto,Luís Eduardo Magalhães - BA,2022-05-05,2022-06-09,35,Resolvido,Não,0,negativo
-2011865155461195573,HDI Seguros,DEFEITO MECANICO,Betim - MG,2022-03-28,2022-05-05,38,Não resolvido,Não,0,negativo
2193975758684941519,HDI Seguros,sinistro veículo,Taquaritinga - SP,2022-04-07,2022-04-14,7,Não resolvido,Não,0,negativo
2444169436631065459,Azul Seguros,Falta de palavra,Jaciara - MT,2022-04-11,2022-04-13,2,Não resolvido,Não,0,negativo
1720103758626232392,Porto Seguro,Lucros cessantes,São José dos Campos - SP,2022-04-30,2022-06-13,44,Não resolvido,Não,0,negativo
-1370412752166213757,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Carro Reserva,Campinas - SP,2022-04-03,2022-06-30,88,Não resolvido,Não,0,negativo
-5407313226251075056,AIG Seguros Brasil,AIG SEGUROS,Patos de Minas - MG,2022-05-09,2022-06-11,33,Não resolvido,Não,0,negativo
1221851273248047424,Azul Seguros,Cobrança Indevida,Votorantim - SP,2022-06-21,2022-06-28,7,Resolvido,Não,0,negativo
-7155555033975190814,Azul Seguros,falta de respeito,São Paulo - SP,2022-04-29,2022-06-29,61,Não resolvido,Não,0,negativo
-1442407693655470101,Azul Seguros,SINSITRO DEMORADO,Palmas - PR,2022-03-28,2022-04-12,15,Não resolvido,Não,0,negativo
-8814642554823946580,MAPFRE Seguros,Sem assistência,São José da Lapa - MG,2022-06-15,2022-06-17,2,Não resolvido,Não,0,negativo
-3290785701615977446,Porto Seguro,Cobrança indevida,Campinas - SP,2022-04-05,2022-06-06,62,Resolvido,Não,0,negativo
-7764058935311947677,Youse Seguros,Seguro cancelado.,Patos de Minas - MG,2022-04-28,2022-06-20,53,Não resolvido,Não,0,negativo
-7768487190467604691,Azul Seguros,Seguro de Veículos,Itapevi - SP,2022-04-13,2022-04-26,13,Não resolvido,Não,0,negativo
-7516078053341209395,Bradesco Seguros,Credenciamento,Campos dos Goytacazes - RJ,2022-06-14,2022-06-17,3,Não resolvido,Não,0,negativo
-5131643126573986163,Bradesco Seguros,Lucro cessante,Joinville - SC,2022-06-22,2022-06-24,2,Não resolvido,Não,0,negativo
-7515372377599726947,Bradesco Seguros,SEGURO DE VIDA,Rio de Janeiro - RJ,2022-04-26,2022-05-24,28,Não resolvido,Não,0,negativo
3691219713584994878,Bradesco Seguros,Seguro de Vida,São Paulo - SP,2022-04-13,2022-06-01,49,Resolvido,Não,0,negativo
-8439394746141055160,Bradesco Seguros,Troca de Senha,Valinhos - SP,2022-05-24,2022-05-27,3,Não resolvido,Não,0,negativo
2920416616096374441,HDI Seguros,Descaso com cliente,Taboão da Serra - SP,2022-04-04,2022-04-29,25,Não resolvido,Não,0,negativo
5567635801901683534,Porto Seguro,Não cumprem acordo!,São Paulo - SP,2022-04-06,2022-06-10,65,Não resolvido,Não,0,negativo
-929290552961232367,Porto Seguro,Seguro residencial,Mauá - SP,2022-05-17,2022-05-31,14,Não resolvido,Não,0,negativo
-5286898604234656794,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Mal atendimento,São Paulo - SP,2022-04-08,2022-06-21,74,Não resolvido,Não,0,negativo
-351710490350171303,Tokio Marine Seguradora,Absurdo,Vitória - ES,2022-05-06,2022-05-09,3,Não resolvido,Não,0,negativo
3724202564449672539,Tokio Marine Seguradora,Guincho,São Paulo - SP,2022-05-05,2022-05-20,15,Não resolvido,Não,0,negativo
5298158008766753492,Azul Seguros,Demora na aprovação,São João de Meriti - RJ,2022-05-16,2022-05-20,4,Não resolvido,Não,0,negativo
8161381003973762038,Azul Seguros,troca do para brisa,Osasco - SP,2022-03-29,2022-06-22,85,Resolvido,Não,0,negativo
-6823120289521280200,Bradesco Seguros,Péssimo serviço,São Paulo - SP,2022-04-27,2022-05-03,6,Resolvido,Não,0,negativo
-5913799397426607901,Bradesco Seguros,Portal proteção,Itatiba - SP,2022-05-23,2022-06-15,23,Não resolvido,Não,0,negativo
2153040549432439476,HDI Seguros,Não recebi reembolso,São Paulo - SP,2022-05-04,2022-05-06,2,Resolvido,Não,0,negativo
-7262991225671070349,HDI Seguros,Reembolso honorários,Cascavel - PR,2022-05-12,2022-05-25,13,Não resolvido,Não,0,negativo
-4478200130323127604,HDI Seguros,Sinistro Hdi seguros,Rio de Janeiro - RJ,2022-04-14,2022-05-11,27,Não resolvido,Não,0,negativo
9056919870670744696,MAPFRE Seguros,Classe bônus zero,Itaguaí - RJ,2022-03-29,2022-05-05,37,Não resolvido,Não,0,negativo
-4206725825054480524,Porto Seguro,Seguro não atendido,São Paulo - SP,2022-04-07,2022-05-16,39,Não resolvido,Não,0,negativo
1790801909802757759,Tokio Marine Seguradora,Sinistro,Aracaju - SE,2022-04-19,2022-06-01,43,Não resolvido,Não,0,negativo
528898512758754659,Zurich Brasil Seguros,Carta de anuência,Resende - RJ,2022-05-11,2022-06-29,49,Não resolvido,Não,0,negativo
-6351664281451780938,Zurich Brasil Seguros,DEMORA PARA PAGAR,Guarujá - SP,2022-05-16,2022-05-23,7,Resolvido,Não,0,negativo
6002774450364968078,Azul Seguros,Renovação muito alta,Suzano - SP,2022-06-17,2022-06-24,7,Não resolvido,Não,0,negativo
7554092948895817795,Azul Seguros,Sinistro com veículo,Aracaju - SE,2022-05-27,2022-06-10,14,Não resolvido,Não,0,negativo
-7106386820738986767,Bradesco Seguros,BRADESCO SAÚDE É [Editado pelo Reclame Aqui]!,Jundiaí - SP,2022-05-30,2022-06-01,2,Não resolvido,Não,0,negativo
-7190235822789414192,Bradesco Seguros,BRADESCO SEGUROS,São Paulo - SP,2022-05-06,2022-05-10,4,Não resolvido,Não,0,negativo
-5630694484928057958,Bradesco Seguros,Cobrança absurda,Magé - RJ,2022-05-26,2022-06-27,32,Não resolvido,Não,0,negativo
-1534312519667298957,Bradesco Seguros,Lucros cessantes,Joinville - SC,2022-05-02,2022-05-19,17,Não resolvido,Não,0,negativo
-461257798925821033,Bradesco Seguros,Reembolso negado,São Paulo - SP,2022-04-25,2022-05-13,18,Não resolvido,Não,0,negativo
5607937849753914336,Bradesco Seguros,Serviço Indevido,Osasco - SP,2022-05-20,2022-06-21,32,Não resolvido,Não,0,negativo
5351272165520647161,HDI Seguros,Sinitros de terceiros,Várzea Grande - MT,2022-04-21,2022-05-05,14,Não resolvido,Não,0,negativo
7601795847365763100,MAPFRE Seguros,Consulta ao SERASA,Curitiba - PR,2022-04-27,2022-05-04,7,Não resolvido,Não,0,negativo
5403234119216042935,MAPFRE Seguros,Garantia estendida!,Caetité - BA,2022-03-30,2022-04-01,2,Resolvido,Não,0,negativo
4659963112179883530,Porto Seguro,Seguro só de fachada,Marabá - PA,2022-03-31,2022-04-20,20,Não resolvido,Não,0,negativo
-1310827163632582947,Porto Seguro,TECH FACIL DEVOLUÇÃO,Perdões - MG,2022-05-23,2022-06-20,28,Resolvido,Não,0,negativo
-4463427323444224573,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Cobrança indevida,Mairinque - SP,2022-05-31,2022-06-12,12,Não resolvido,Não,0,negativo
-3371271687762417658,Tokio Marine Seguradora,Reembolso,ITAPEMA - SC,2022-04-25,2022-05-19,24,Não resolvido,Não,0,negativo
4072680679751609785,Tokio Marine Seguradora,Renovação [Editado pelo Reclame Aqui],Rio de Janeiro - RJ,2022-05-13,2022-05-30,17,Não resolvido,Não,0,negativo
-6780456133466294782,Youse Seguros,Assistência Técnica,Santos - SP,2022-06-03,2022-06-29,26,Não resolvido,Não,0,negativo
-4887801729435877817,Youse Seguros,Atendimento PÉSSIMO,BRASILIA - DF,2022-06-07,2022-06-14,7,Não resolvido,Não,0,negativo
4415602461125454790,Youse Seguros,Pessimo atendimento,Cuiabá - MT,2022-06-01,2022-06-08,7,Resolvido,Não,0,negativo
-6976245225953395658,Zurich Brasil Seguros,Contato impossível.,Santarém - PA,2022-06-14,2022-06-24,10,Não resolvido,Não,0,negativo
-3064001234168220664,Zurich Brasil Seguros,PESSIMA SEGURADORA,Varginha - MG,2022-04-19,2022-04-28,9,Não resolvido,Não,0,negativo
-7195206454229016234,Zurich Brasil Seguros,Retorno da empresa,Salvador - BA,2022-05-24,2022-05-30,6,Não resolvido,Não,0,negativo
-2173461942973298793,AIG Seguros Brasil,Atraso SPP - VISA,Hortolândia - SP,2022-03-31,2022-05-17,47,Não resolvido,Não,0,negativo
-3975869376574653836,AIG Seguros Brasil,SEGURO NÃO PAGO,Recife - PE,2022-04-11,2022-04-18,7,Não resolvido,Não,0,negativo
5001301490251715015,Azul Seguros,Demora na autorização,Fortaleza - CE,2022-04-12,2022-06-02,51,Resolvido,Não,0,negativo
-6464552547292600519,Azul Seguros,O cliente que se vire,São Paulo - SP,2022-05-13,2022-05-31,18,Não resolvido,Não,0,negativo
7459334612650226387,Bradesco Seguros,COBRANÇA INDEVIDA,Brasília - DF,2022-05-04,2022-06-13,40,Não resolvido,Não,0,negativo
8839065260822319145,Bradesco Seguros,Rede referenciada,São Paulo - SP,2022-05-17,2022-05-31,14,Não resolvido,Não,0,negativo
8453591974125259328,HDI Seguros,Atendimento Vergonhoso,Uberaba - MG,2022-04-10,2022-04-19,9,Não resolvido,Não,0,negativo
-7552986518579508967,Porto Seguro,2 MESES SEM MEU CARRO,São Bernardo do Campo - SP,2022-03-31,2022-05-10,40,Não resolvido,Não,0,negativo
7235594909416792014,AIG Seguros Brasil,FALTA DE RETORNO,Fortaleza - CE,2022-03-30,2022-05-03,34,Não resolvido,Não,0,negativo
1660259189891822451,AIG Seguros Brasil,Falta de retorno,Rio de Janeiro - RJ,2022-04-19,2022-05-27,38,Não resolvido,Não,0,negativo
-1673205000135931133,Azul Seguros,100 dias sem meu carro!,Divinésia - MG,2022-06-13,2022-06-28,15,Não resolvido,Não,0,negativo
1747828539695156752,Azul Seguros,Cancelamento do Seguro,Caieiras - SP,2022-03-30,2022-04-04,5,Resolvido,Não,0,negativo
7017058252691982836,Azul Seguros,Negação da Indenização,São Miguel - RN,2022-04-11,2022-05-05,24,Não resolvido,Não,0,negativo
-1519135988281717145,Bradesco Seguros,Alteração de Senha,São Paulo - SP,2022-05-08,2022-06-07,30,Resolvido,Não,0,negativo
360947446520504878,Bradesco Seguros,Reembolso Indevido,Santo André - SP,2022-04-22,2022-05-16,24,Não resolvido,Não,0,negativo
2273573307911897397,Bradesco Seguros,Seguro prestamista,Lucélia - SP,2022-05-24,2022-06-29,36,Não resolvido,Não,0,negativo
-2825908421969483051,Bradesco Seguros,SEGURO RESIDENCIAL,Goiânia - GO,2022-04-19,2022-06-25,67,Resolvido,Não,0,negativo
3583893079353968349,Bradesco Seguros,Seguro residencial,Aramina - SP,2022-05-20,2022-06-17,28,Não resolvido,Não,0,negativo
-8327914685125610890,Bradesco Seguros,Venda Inapropriada,Santo Antônio de Jesus - BA,2022-05-05,2022-07-05,61,Não resolvido,Não,0,negativo
-1187991535607118230,HDI Seguros,Problema com financeiro.,Porto Alegre - RS,2022-05-17,2022-05-26,9,Não resolvido,Não,0,negativo
6395010943521740356,HDI Seguros,Seguro que não funciona,Sorocaba - SP,2022-04-05,2022-04-14,9,Não resolvido,Não,0,negativo
-6166955362727514835,HDI Seguros,SINISTRO CARTA NEGATIVA,Belo Horizonte - MG,2022-05-10,2022-05-12,2,Não resolvido,Não,0,negativo
1132338502460728750,HDI Seguros,Sinistro não autorizado,Itararé - SP,2022-05-05,2022-05-12,7,Não resolvido,Não,0,negativo
6592150501306684737,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Péssimo atendimento,CURITIBA - PR,2022-06-21,2022-06-28,7,Resolvido,Não,0,negativo
7789282977878924426,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Troca de para brisa.,São Paulo - SP,2022-05-24,2022-06-15,22,Não resolvido,Não,0,negativo
-5587996053028981051,Zurich Brasil Seguros,Falta de assistenica,Mogi das Cruzes - SP,2022-05-15,2022-05-30,15,Não resolvido,Não,0,negativo
-6534515932726979128,Zurich Brasil Seguros,Falta de atendimento,São Joaquim - SC,2022-05-10,2022-05-17,7,Não resolvido,Não,0,negativo
-6534515932726979128,Zurich Brasil Seguros,Falta de atendimento,Manaus - AM,2022-06-23,2022-06-30,7,Não resolvido,Não,0,negativo
5747911578986795971,Zurich Brasil Seguros,Falta de compromisso,São Paulo - SP,2022-05-02,2022-05-21,19,Não resolvido,Não,0,negativo
8158769453503467377,AIG Seguros Brasil,03746327###03661214,Aracaju - SE,2022-05-04,2022-07-01,58,Resolvido,Sim,0,negativo
-2650240758218341384,AIG Seguros Brasil,Falta de respeito,São Paulo - SP,2022-05-12,2022-07-02,51,Resolvido,Não,0,negativo
-2084125792165139526,AIG Seguros Brasil,garantia de preco,Barra do Bugres - MT,2022-04-04,2022-05-04,30,Não resolvido,Não,0,negativo
5704379724976344342,AIG Seguros Brasil,PROTEÇÃO DE PREÇO,Teresina - PI,2022-04-18,2022-04-30,12,Não resolvido,Não,0,negativo
8472440439897309890,AIG Seguros Brasil,Proteção de preço,Caruaru - PE,2022-05-28,2022-05-31,3,Não resolvido,Não,0,negativo
-7158019905155892115,Azul Seguros,Transtornos e prejuízos,João Pessoa - PB,2022-04-18,2022-06-09,52,Não resolvido,Não,0,negativo
-3358335665350894208,Bradesco Seguros,Atendimento péssimo,Rio de Janeiro - RJ,2022-05-26,2022-05-27,1,Não resolvido,Não,0,negativo
-5800731659137281636,Bradesco Seguros,Não consigo contato,Taubaté - SP,2022-04-17,2022-05-06,19,Não resolvido,Não,0,negativo
-4179272860258660570,HDI Seguros,NÃO RENOVARAM MEU SEGURO,Ribeirão Preto - SP,2022-04-18,2022-04-28,10,Não resolvido,Não,0,negativo
-6874128374155191492,HDI Seguros,Sinistro 010465351166842,Pouso Alegre - MG,2022-05-29,2022-06-22,24,Não resolvido,Não,0,negativo
-7766046237184532895,HDI Seguros,SINISTRO: 010603153209078,São Bento do Tocantins - TO,2022-05-27,2022-06-09,13,Não resolvido,Não,0,negativo
-34908190681065969,MAPFRE Seguros,Demora na indenização,Natal - RN,2022-03-25,2022-04-06,12,Não resolvido,Não,0,negativo
-2297405589751286964,MAPFRE Seguros,Sinistro em Fevereiro,São Paulo - SP,2022-04-01,2022-04-12,11,Não resolvido,Não,0,negativo
499735199997060383,Porto Seguro,Carro parado há 5 meses,Goiânia - GO,2022-03-29,2022-05-10,42,Resolvido,Não,0,negativo
-8468393542274853629,Porto Seguro,Não consigo atendimento,Santo André - SP,2022-05-19,2022-06-03,15,Resolvido,Não,0,negativo
-286931612920399229,Youse Seguros,Cancelamento do seguro,Curitiba - PR,2022-05-01,2022-05-09,8,Não resolvido,Não,0,negativo
733024013174063589,Youse Seguros,Cancelamento do seguro.,Pirassununga - SP,2022-06-16,2022-06-25,9,Não resolvido,Não,0,negativo
-8043562261486380799,Zurich Brasil Seguros,Encanador nunca chega,São João del Rei - MG,2022-04-13,2022-04-22,9,Não resolvido,Não,0,negativo
2264013635777574908,Zurich Brasil Seguros,Zurich brasil seguros .,Rio de Janeiro - RJ,2022-06-03,2022-06-12,9,Não resolvido,Sim,0,negativo
-7983281443135307939,AIG Seguros Brasil,Demora na resposta,Paranaguá - PR,2022-05-12,2022-06-12,31,Não resolvido,Não,0,negativo
-3949223263403742007,Bradesco Seguros,Falta de Atendimento,Campinas - SP,2022-05-09,2022-05-26,17,Não resolvido,Não,0,negativo
7765785775470417319,Bradesco Seguros,REEMBOLSO DE GUINCHO,Osasco - SP,2022-04-12,2022-07-06,85,Resolvido,Não,0,negativo
5509561892764886501,Bradesco Seguros,Sinistro Seguro Auto,Santo André - SP,2022-07-06,2022-07-08,2,Não resolvido,Não,0,negativo
8327110017028743115,Bradesco Seguros,Valor lucro cessante,Joinville - SC,2022-07-05,2022-07-07,2,Resolvido,Não,0,negativo
634695124207699706,HDI Seguros,Atendimento não realizado,São Paulo - SP,2022-06-30,2022-07-01,1,Não resolvido,Não,0,negativo
3957879488850475969,HDI Seguros,Pior prestação de serviço,Mauá - SP,2022-04-22,2022-05-05,13,Não resolvido,Não,0,negativo
8763604127083103493,HDI Seguros,SINISTRO N010353153211852,Belo Horizonte - MG,2022-05-12,2022-05-19,7,Não resolvido,Não,0,negativo
3599001746999340510,MAPFRE Seguros,Descaso com o segurado,São Vicente - SP,2022-04-06,2022-04-28,22,Não resolvido,Não,0,negativo
758276942959868208,Porto Seguro,Carro Facil Porto Seguro,Bauru - SP,2022-03-30,2022-05-23,54,Não resolvido,Não,0,negativo
4166954909579314267,Porto Seguro,Porto Seguro Seguros S.A.,São Paulo - SP,2022-06-14,2022-06-21,7,Não resolvido,Não,0,negativo
4983347699674202681,Tokio Marine Seguradora,[Editado pelo Reclame Aqui] DA SEGURADORA,Maricá - RJ,2022-04-06,2022-04-29,23,Não resolvido,Não,0,negativo
9039942382406265594,Zurich Brasil Seguros,Acionamento de seguros,Salvador - BA,2022-05-17,2022-05-26,9,Resolvido,Não,0,negativo
7096005064731842464,Zurich Brasil Seguros,Aguardando o pagamento,Passo Fundo - RS,2022-06-20,2022-06-28,8,Resolvido,Não,0,negativo
-7552483401833762803,Zurich Brasil Seguros,Restituição de seguros,São Paulo - SP,2022-05-08,2022-06-03,26,Resolvido,Não,0,negativo
-262601774240476651,AIG Seguros Brasil,Atraso no Reembolso,Feira de Santana - BA,2022-04-20,2022-06-15,56,Não resolvido,Não,0,negativo
-5259906571683575591,Azul Seguros,Não quer pagar o terceiro,São Bernardo do Campo - SP,2022-04-30,2022-06-11,42,Não resolvido,Não,0,negativo
4255641339341444669,Bradesco Seguros,descaso com o cliente,Saubara - BA,2022-07-01,2022-07-06,5,Não resolvido,Não,0,negativo
-6533204482411611010,Bradesco Seguros,Reembolso Exame COVID,Comend. Levy Gasparian - RJ,2022-05-30,2022-06-24,25,Resolvido,Não,0,negativo
-77637248112251817,Porto Seguro,Lucros Cessantes - Terceiro,Niterói - RJ,2022-04-07,2022-04-29,22,Não resolvido,Não,0,negativo
5247526045278826722,Porto Seguro,Tech Fácil e venda casada,São Paulo - SP,2022-05-06,2022-05-10,4,Não resolvido,Não,0,negativo
3925623165753642369,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Atraso na documentação,Rio de Janeiro - RJ,2022-04-18,2022-05-03,15,Não resolvido,Não,0,negativo
5744277900202663093,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",MAIS DE 3 MESES E NADA!,Santo André - SP,2022-04-06,2022-04-28,22,Não resolvido,Não,0,negativo
-3500891064749850026,AIG Seguros Brasil,Empresa não responde,Catanduva - SP,2022-04-29,2022-05-09,10,Não resolvido,Não,0,negativo
7507319919811158260,AIG Seguros Brasil,Indenização não paga,Maringá - PR,2022-06-21,2022-07-02,11,Resolvido,Não,0,negativo
-5576365557962876733,Bradesco Seguros,Demora em procedimento,João Pessoa - PB,2022-06-29,2022-07-12,13,Não resolvido,Não,0,negativo
29375243267375481,Bradesco Seguros,Não recebi meu resgate,Curitiba - PR,2022-06-30,2022-07-10,10,Resolvido,Não,0,negativo
3724248709266567099,Bradesco Seguros,Paga cara e não presta,São Paulo - SP,2022-04-29,2022-07-08,70,Não resolvido,Não,0,negativo
-1686338458574697768,Bradesco Seguros,PERTURBAÇÃO INCESSANTE,Resende - RJ,2022-05-17,2022-06-20,34,Não resolvido,Não,0,negativo
-782900900575236016,Bradesco Seguros,Redução de mama negada,Rio de Janeiro - RJ,2022-06-30,2022-07-07,7,Não resolvido,Não,0,negativo
1473846951371583075,Bradesco Seguros,Reembolso fisioterapia,Boa Vista - RR,2022-06-24,2022-07-11,17,Não resolvido,Não,0,negativo
-2091715017101711171,Bradesco Seguros,Reembolso Fisioterapia,Boa Vista - RR,2022-07-01,2022-07-08,7,Não resolvido,Não,0,negativo
411104696323516834,Bradesco Seguros,Sinistro Não Resolvido,Belo Horizonte - MG,2022-04-30,2022-07-12,73,Não resolvido,Não,0,negativo
-8924309993846810226,Bradesco Seguros,SOCORRO DE ELETRECISTA,Campinas - SP,2022-05-12,2022-05-18,6,Não resolvido,Não,0,negativo
-6476390612498264527,Bradesco Seguros,SOLICITAÇÃO DE REBOQUE,Osasco - SP,2022-06-07,2022-06-10,3,Não resolvido,Não,0,negativo
638763252910290137,HDI Seguros,DEMORA NA ENTREGA DAS PEÇAS,Curitiba - PR,2022-06-14,2022-06-30,16,Resolvido,Não,0,negativo
-7316863975545958347,HDI Seguros,Demora no reparo do veículo,Governador Valadares - MG,2022-05-08,2022-05-12,4,Não resolvido,Não,0,negativo
-727708907940512562,Porto Seguro,Fazem o cliente de palhaço,Natal - RN,2022-04-27,2022-05-05,8,Não resolvido,Não,0,negativo
-968217322269444167,Porto Seguro,PORTO SEGURO NÃO CONFIÁVEL,Brasília - DF,2022-05-19,2022-06-03,15,Não resolvido,Não,0,negativo
-8730039043017244695,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Garantia que não existe,Rio de Janeiro - RJ,2022-04-13,2022-04-20,7,Não resolvido,Não,0,negativo
5590392288392144974,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Pior seguradora ALLIANZ!,Rio de Janeiro - RJ,2022-06-21,2022-06-24,3,Não resolvido,Não,0,negativo
2099291054785034850,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Reembolso/Carro reserva,Araçatuba - SP,2022-04-07,2022-04-22,15,Não resolvido,Não,0,negativo
-108442198756816013,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Sinistro não indenizado,Catalão - GO,2022-04-11,2022-05-18,37,Resolvido,Não,0,negativo
-895141922609811670,Tokio Marine Seguradora,SEM ATENDIMENTO,Santos - SP,2022-05-04,2022-05-19,15,Resolvido,Não,0,negativo
-4060906168579701166,AIG Seguros Brasil,Problema no pagamento,São Paulo - SP,2022-05-03,2022-06-08,36,Não resolvido,Não,0,negativo
-8073548170696685320,AIG Seguros Brasil,Problemas com o prazo,São Bernardo do Campo - SP,2022-04-22,2022-05-16,24,Resolvido,Não,0,negativo
-538262453079975579,AIG Seguros Brasil,Sinistro não foi pago.,São Paulo - SP,2022-03-31,2022-04-12,12,Resolvido,Não,0,negativo
-1160534727872267776,Bradesco Seguros,Convênio descredenciado,Guarulhos - SP,2022-05-11,2022-06-20,40,Não resolvido,Não,0,negativo
-3142730381196836379,Bradesco Seguros,Seguro Viagem enganação,Salvador - BA,2022-05-30,2022-06-08,9,Resolvido,Não,0,negativo
6747788242895558398,HDI Seguros,Assistência 24H NÃO FUNCIONA,São João Batista - SC,2022-06-17,2022-06-29,12,Não resolvido,Não,0,negativo
8576548857229629601,HDI Seguros,Sem respostas sobre sinistro,Curitiba - PR,2022-04-11,2022-04-19,8,Resolvido,Não,0,negativo
-5304379184586659401,HDI Seguros,Serviço de péssima qualidade,Rio de Janeiro - RJ,2022-05-05,2022-05-18,13,Não resolvido,Não,0,negativo
-6196045106843508212,Porto Seguro,"Tech Facil , Facil só no nome",Recife - PE,2022-04-04,2022-04-19,15,Não resolvido,Não,0,negativo
-6834984841068738779,"Allianz Seguros e SulAmérica Auto, Residencial e Condomínio.",Prazo resolução sinistro,Uberlândia - MG,2022-04-20,2022-06-03,44,Não resolvido,Não,0,negativo
-5271233258311857878,Tokio Marine Seguradora,Lucros cessantes,Guaíba - RS,2022-05-17,2022-05-28,11,Não resolvido,Não,0,negativo
-469142796517594037,Youse Seguros,Valor absurdo na renovação,Rio de Janeiro - RJ,2022-05-01,2022-06-20,50,Não resolvido,Não,0,negativo
3912667271300554558,Zurich Brasil Seguros,Demora pra. Liberar seguro,Jundiaí - SP,2022-05-09,2022-05-22,13,Não resolvido,Não,0,negativo
